res_id,name,addr,locality,lat,long,cusines,aggr_rating,rate_text,votes
18871246,ShakesBierre,"Level 5, Eva Mall, Brigade Road, Bangalore","Eva Mall, Brigade Road",12.9710367871,77.6070255786,"Asian, Continental, European, North Indian",4.6,Excellent,858
18627369,Biergarten,"4th B Cross, Koramangala 5th Block, Bangalore",Koramangala 5th Block,12.9334267140,77.6143838838,"Continental, North Indian, Chinese, European, BBQ, Finger Food, Asian",4.7,Excellent,2068
57833,Big Pitcher,"LR Arcade,4121, Old Airport Road, Bangalore",Old Airport Road,12.9601384392,77.6469237730,"American, Continental, North Indian, Mediterranean",4.7,Excellent,10091
18874059,The Pump House,"607, 15th Cross, Outer Ring Road, 1st Phase, JP Nagar, Bangalore",JP Nagar,12.9065451310,77.5821393728,"Continental, Finger Food",4.4,Very Good,1227
54162,The Black Pearl,"105, 1st A Cross Road, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,12.9344024486,77.6161289960,"North Indian, European, Mediterranean",4.7,Excellent,11264
18625420,Burma Burma,"607, Ground Floor, 12th Main, Hal 2nd Stage, Indiranagar, Bangalore",Indiranagar,12.9703944526,77.6447132975,"Asian, Burmese",4.7,Excellent,1926
18945224,Secret Of Bangalore,"Shakthi Hill Resort, BEML Layout, Off Mysore Road, V Stage, RR Nagar, Rajarajeshwari Nagar, Bangalore",Rajarajeshwari Nagar,12.9093987813,77.5272493064,"North Indian, South Indian, Continental, Asian, Desserts",4.5,Excellent,1364
18576435,Shift,"1085, 14th Main, 18th Cross, Sector 3, HSR, Bangalore",HSR,12.9118095871,77.6388925686,"Finger Food, Continental, North Indian",4.2,Very Good,2194
18617852,Onesta,"90/3, Opposite Innovative Multiplex, Beside World of Titan, Outer Ring Road, Marathahalli, Bangalore",Marathahalli,12.9507766402,77.6998031884,"Pizza, Italian, Fast Food, Beverages, Desserts",4.5,Excellent,3424
18580202,1131 Bar + Kitchen,"100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",Indiranagar,12.9698808451,77.6412837580,"Continental, Asian, Italian, North Indian",4.5,Excellent,3301
18578798,TBC Sky Lounge,"Astra Hotel, 2795, 27th Main, Sector 1, HSR, Bangalore",HSR,12.9228727861,77.6515448838,"Continental, Asian, Italian, North Indian",4.7,Excellent,8451
18801352,Punjab Grill,"Ground Floor, Forum Shantiniketan, Whitefield Main Road, Hoodi, Whitefield, Bangalore",Whitefield,12.9893534000,77.7283305000,North Indian,4.8,Excellent,869
18853706,Brahma Brews,"24th Main, 7th Phase, Opposite Brigade Palm Springs, JP Nagar, Bangalore",JP Nagar,12.8933610000,77.5863890000,"Continental, South Indian, Finger Food, Pizza, Seafood",4.4,Very Good,858
18254597,Brew and Barbeque - A Microbrewery Pub,"36/4, Fourth Floor, Soul Space Arena, Outer Ring Road, Doddanekkundi Village, Marathahalli, Bangalore","Soul Space Arena Mall, Marathahalli",12.9801658606,77.6933712512,"Continental, North Indian, BBQ, Steak",4.8,Excellent,7024
18353127,Delhi Highway,"951, 12th Main Road, HAL 2nd Stage, Indiranagar, Bangalore",Indiranagar,12.9700644632,77.6394890249,"Modern Indian, North Indian, Mughlai",4.4,Very Good,3780
18765119,ANTIGRAVITY,"35, 4th Floor, Kadubeesanahalli, Marathalli Outer Ring Road, Opposite Oracle JP Morgan, Marathahalli, Bangalore",Marathahalli,12.9412520000,77.6966690000,"Continental, North Indian, Chinese, BBQ",4.4,Very Good,1219
52599,Empire Restaurant,"Next to BSNL, HAL 2nd Stage, 80 Feet Road, Indiranagar, Bangalore",Indiranagar,12.9698716969,77.6475158706,"North Indian, Mughlai, South Indian, Chinese",4.1,Very Good,8620
18480016,Hammered,"3, 80 Feet Road, Opposite MK Tower, RMV 2nd Stage, New BEL Road, Bangalore",New BEL Road,13.0272538992,77.5772406533,"North Indian, Continental",4.6,Excellent,3366
18767303,Imperio Restaurant,"429, 7th Main Road, HRBR Layout, 1st Block, Kalyan Nagar, Bangalore",Kalyan Nagar,13.0240984681,77.6430919021,"North Indian, Mughlai, Biryani, South Indian, Beverages",4.4,Very Good,1634
