res_id,user_id,rating,rating_text
18871246,43197913,5,I really liked d overall experience. Hope to visit to rock again. The service also made an effect on the food and I loved it so I guess the ...
18871246,43197154,3,I visiting this place on a Saturday evening with my friends. I had made reservations thankfully as it was totally packed! It is on the rooft...
18871246,43183313,4,We tried only the drinks n mocktails here as we went post lunch! The beers are quite good they have a well balanced taste to them as I tried...
18871246,43177621,5,Beautifull place. Brigade road Bangalore shakes bierre one of the best place And service. Quality also best Food was. Very good tested enjoy...
18871246,43176351,5,"What a place! Wonderful location, ambience, food and drinks. Also got amazing discounts here on Zomato gold and availed their happy hour dis..."
18627369,43196409,4,Sunday afternoon visited this place. Located in Truffles lane in Koramangala.  Food drinks friends and brewed beer is all you need and we ha...
18627369,43186382,5,Lovely ambience. Amazing food. Irani Paneer Tikka is one the best I ever had. A must try here. Amazing and quick service. I must say the sta...
18627369,43185531,5,Visited here for Sunday evening dinner. This is their second branch in kormangala and it gives you same pleasure as the first one. Food is o...
18627369,43176212,5,"Amazing place. Specially some of the person concerned like Tapan, his hospitality was amazing. The way he handles everything is actually ama..."
18627369,43175640,5,I was escorted by mr Sanjeev it was awsome experience he was well behaved and kind in his job really enjoyed his service and the restaurant ...
57833,43199021,5,Mr. Sumant is so very polite and he served us to the extreme in split wood. We just loved it and he is so happy that we are happy. He deserv...
57833,43196168,5,Awesome service. Amazing food. Santhanu who was the server did the best he could to make our time delightful. We thoroughly enjoyed every bi...
57833,43193890,4,Big pitcher is one of the few places in Bangalore which has a combination of lounge and a club. I had been here for their Asian festival buf...
57833,43175191,5,"Unlike other micro breweries in town, Big pitcher is a stand alone building with 4 floors serving different cuisines in different floor.  R..."
57833,43175059,4,"Looking for some finest brewed beer and some authentic food? Well, Big Pitcher is the place to try!  Big Pitcher is a restobar which is loca..."
18874059,43189182,4,First of all the place is wow! Ambience is beautiful. Their menu and food is great. Went here with a bunch of friends. We all had a great ti...
18874059,43179818,5,Great place. There is always a lot of crowd here. So recommend booking a table before going there. The food is quite nice. Service is also q...
18874059,43168489,4,Very good and unique ambience (especially night lightning though!) with different menu items and drinks Having an brewery extractor for the ...
18874059,43156001,4,"Apparently located in the same place as where the Water Pump for the city was first housed, with its high ceilings, plush decor and trending..."
18874059,43138279,5,"One of the best in  Bangalore, ever seen and heard earlier,  infused in awesome interiors with excellent ambiance,  surrounded with  int..."
54162,43172852,5,the food was very tasty and qualiry also very good.. the food was serves to me by himashu who was very polite and very good service provided...
54162,43172340,5,Nicely good times in come in Black pearl.. good sarvice by Sharma ji and hamanshu Roy....good food..... Pani puri.nice. Rabbit was also good...
54162,43172046,5,it is a very good place... koramangala the black pearl... good food good mugic good sarvice by dipesh hamesshu...... ckn culpi was very nice...
54162,43167122,5,It's awesome place enjoyed my lunch. I had an awesome experience. The food was really tasty and nice service by harikrishna. Will definitely...
